transaction_id,user_id,product,category,quantity,amount,payment_method,transaction_date
98329ce7-9d9e-4ba9-b2dd-a8a7e99dc180,af28319b-c73c-4ec0-8ccc-9cf7117eeea7,Trade,Books,4,410.35,PayPal,2024-12-20
5054a7be-eb9a-446f-895f-3604d812dc7a,3d011373-7d1c-4b86-a677-de9c4c814073,Talk,Toys,3,61.9,Debit Card,2025-02-10
e8e17f37-be9c-4f94-8b99-c8cc12136d8e,42dd8d94-ccc3-440e-b744-d32c960b3f38,Week,Toys,3,257.75,Debit Card,2025-06-09
955d6418-d574-478e-934c-4f8b4a3e52e2,6bbaac2f-6cc2-4fb2-9804-274630f1b338,Quickly,Electronics,3,205.85,PayPal,2025-07-29
99246f60-c23d-4ea7-a9d2-d5cabae15c78,b389cffd-8605-4675-aa64-343ba5629701,Hold,Electronics,4,235.16,UPI,2025-04-01
a8cce2f8-f2f4-4259-8725-feadf8cbcec1,c648bd35-9171-450f-8828-3a95a227a8e7,Right,Groceries,4,520.3,Cash,2023-12-08
a030dc7b-ad2a-42ba-8aec-2266dd7ae5ff,b0000108-7aa3-432b-8812-aa8a9117c570,On,Groceries,2,586.75,Debit Card,2025-01-23
83dbd1c7-7e5d-463b-881f-7a4a8a7d1a17,af28319b-c73c-4ec0-8ccc-9cf7117eeea7,Social,Toys,5,194.83,UPI,2025-05-25
030ece1e-6d0a-4cf5-8f36-56139c5186f8,ee7b9b78-51fe-440e-bf42-6e39a664e3ae,After,Groceries,2,463.8,Cash,2024-11-16
545e4939-3e70-4492-af36-46377fb53e41,f5e3c0e3-a30a-4f63-acc3-6917ade90af6,Behavior,Books,3,476.1,Debit Card,2021-08-07
1166bf1b-5207-4da1-ac1c-a62da76be800,ee7b9b78-51fe-440e-bf42-6e39a664e3ae,Hot,Groceries,2,720.19,Cash,2024-09-10
1eda1e7d-a30f-44d6-84df-94b4c700068a,a9a0cd15-fb59-4096-a8b6-f30cb6a7fc88,Air,Groceries,5,280.49,Cash,2025-03-13
b6d066a3-ce0b-4b4a-b228-21f0d851fe7a,7f0dad16-8085-4218-96e0-98ba4aed89d1,Young,Toys,5,359.13,UPI,2025-02-09
7317a081-99aa-4adf-8bda-483f2b17392a,c5527c69-9341-4fb2-bc5d-0466b42c011f,Cut,Books,2,159.85,PayPal,2023-08-29
319aee9a-28e5-49b3-90e8-b89dc12025ef,7eea8b53-53dd-4986-a446-2c686297edc9,Fire,Groceries,5,225.2,PayPal,2022-04-12
df62319f-74b0-4452-924b-89630d836f88,42dd8d94-ccc3-440e-b744-d32c960b3f38,Game,Groceries,3,875.48,PayPal,2025-04-05
f8f91157-a9c1-4bf7-a6a5-fc5b30a1b8ce,f05383be-6ca3-4507-88ee-4830b0970b4b,History,Clothing,5,68.59,Cash,2024-09-21
73961192-0504-4905-899f-33d9c540796e,0a579fa4-2ced-47eb-a799-b3d21f0ca00c,Sport,Electronics,4,980.29,Cash,2021-09-24
1848ab16-4aa2-49d4-9f4e-99148bacd565,f5e3c0e3-a30a-4f63-acc3-6917ade90af6,Summer,Electronics,2,176.1,Credit Card,2020-10-23
bd00299d-52d6-4362-b7ab-56e3f1e21ce6,9bb5eaba-0820-4698-a76c-5d27c5924201,How,Electronics,3,971.77,Debit Card,2024-12-19
053fe8ba-50c9-4896-81a3-dbafe37976c7,132bdfdc-2c4f-4f02-b081-befeac4926e5,Dog,Toys,3,507.27,PayPal,2025-03-13
42bdb71c-74c7-480e-900a-3c47751c4ff0,b0000108-7aa3-432b-8812-aa8a9117c570,High,Groceries,1,433.22,Credit Card,2025-05-11
daf44d35-1e97-4156-aa42-c79a9f939aa1,e4d9d99a-2dca-4bc6-bb88-76a93188c57b,Yeah,Books,2,341.97,Debit Card,2024-03-17
dc473231-80af-4882-ab52-1d9a466574b7,74331c98-96b1-4b81-a526-c33b56488719,Political,Books,1,648.6,UPI,2024-05-18
f94c16e1-96d7-4510-b0c9-f7a8a26b4aa5,4322e9d7-59f0-4e89-9374-7892f77f0f48,Strong,Clothing,5,984.83,UPI,2024-08-12
f81d1d41-d9a3-4cbf-a62d-faddb72a6103,e3a41242-fe31-40a8-9914-780803570d36,Security,Groceries,4,361.59,Debit Card,2024-02-10
5e35b9f6-8373-4b19-addb-c0b4267ec7a3,0a579fa4-2ced-47eb-a799-b3d21f0ca00c,Take,Electronics,4,529.87,UPI,2021-10-22
